id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Shut Up and Dance,Walk The Moon,pop,happy,0.81,128,0.84,0.79,0.18
2,Weightless,Marconi Union,lofi,chill,0.16,71,0.56,0.62,0.71
3,Ace of Spades,Motörhead,rock,intense,0.96,141,0.48,0.66,0.1
4,Morning Coffee,luvbird,lofi,chill,0.25,74,0.6,0.58,0.86
5,Physical,Dua Lipa,pop,intense,0.89,147,0.77,0.88,0.05
6,An Ending (Ascent),Brian Eno,ambient,chill,0.12,60,0.65,0.41,0.92
7,Blue Train,John Coltrane,jazz,relaxed,0.42,90,0.71,0.54,0.89
8,Nightcall,Kavinsky,synthwave,moody,0.78,110,0.49,0.73,0.22
9,Focus,H.E.R.,lofi,focused,0.38,80,0.59,0.6,0.78
10,Lisztomania,Phoenix,indie pop,happy,0.72,120,0.81,0.82,0.35
11,Desert Rose,Sting,world,exotic,0.68,105,0.73,0.65,0.4
12,Rainbow Road,nanobii,chip tune,playful,0.92,175,0.9,0.8,0.12
13,The Thrill Is Gone,B.B. King,blues,melancholic,0.45,85,0.38,0.5,0.77
14,"Take Me Home, Country Roads",John Denver,country,nostalgic,0.52,82,0.7,0.67,0.45
15,Voodoo People (Pendulum Remix),The Prodigy,drum and bass,energetic,0.97,174,0.65,0.92,0.08
16,Weightless,Mac Quayle,new age,calm,0.2,63,0.8,0.35,0.95
17,Mask Off,Future,trap,edgy,0.72,150,0.52,0.78,0.2
18,Spiegel im Spiegel,Arvo Pärt,classical,serene,0.05,60,0.75,0.3,0.98
19,Bamboléo,Gipsy Kings,latin,festive,0.91,128,0.89,0.87,0.18
20,Holy Wars... The Punishment Due,Megadeth,metal,aggressive,0.98,160,0.4,0.55,0.05
